llv.fold	weighting.threshold.upper	weighting.threshold.lower	weighting.threshold	no.ids.labelled	no.ids.unlabelled	no.new.labelled	no.ids.left.unlabelled	iteration	accuracy	balanced.accuracy	coverage	non-sensitive_accuracy	sensitive_accuracy	non-sensitive_coverage	sensitive_coverage
2	2.2252549123383	0	2.11399216672138	725	71	2	69	8	0.818181818181818	0.846153846153846	0.785714285714286	0.692307692307692	1	0.8125	0.75
3	2.2252549123383	0	2.11399216672138	218	578	408	170	1	0.823529411764706	0.825757575757576	0.80952380952381	0.818181818181818	0.833333333333333	0.846153846153846	0.75
3	2.2252549123383	0	2.11399216672138	626	170	44	126	2	0.789473684210526	0.773809523809524	0.904761904761905	0.833333333333333	0.714285714285714	0.923076923076923	0.875
3	2.2252549123383	0	2.11399216672138	670	126	14	112	3	0.789473684210526	0.773809523809524	0.904761904761905	0.833333333333333	0.714285714285714	0.923076923076923	0.875
3	2.2252549123383	0	2.11399216672138	684	112	11	101	4	0.789473684210526	0.773809523809524	0.904761904761905	0.833333333333333	0.714285714285714	0.923076923076923	0.875
3	2.2252549123383	0	2.11399216672138	695	101	12	89	5	0.789473684210526	0.773809523809524	0.904761904761905	0.833333333333333	0.714285714285714	0.923076923076923	0.875
3	2.2252549123383	0	2.11399216672138	707	89	11	78	6	0.789473684210526	0.773809523809524	0.904761904761905	0.833333333333333	0.714285714285714	0.923076923076923	0.875
3	2.2252549123383	0	2.11399216672138	718	78	4	74	7	0.75	0.729166666666667	0.952380952380952	0.833333333333333	0.625	0.923076923076923	1
3	2.2252549123383	0	2.11399216672138	722	74	5	69	8	0.75	0.729166666666667	0.952380952380952	0.833333333333333	0.625	0.923076923076923	1
4	2.2252549123383	0	2.11399216672138	216	580	411	169	1	0.625	0.416666666666667	0.695652173913043	0.833333333333333	0	0.8	0.5
4	2.2252549123383	0	2.11399216672138	627	169	50	119	2	0.647058823529412	0.516666666666667	0.739130434782609	0.833333333333333	0.2	0.8	0.625
4	2.2252549123383	0	2.11399216672138	677	119	7	112	3	0.611111111111111	0.5	0.782608695652174	0.833333333333333	0.166666666666667	0.8	0.75
4	2.2252549123383	0	2.11399216672138	684	112	4	108	4	0.611111111111111	0.5	0.782608695652174	0.833333333333333	0.166666666666667	0.8	0.75
4	2.2252549123383	0	2.11399216672138	688	108	2	106	5	0.611111111111111	0.5	0.782608695652174	0.833333333333333	0.166666666666667	0.8	0.75
4	2.2252549123383	0	2.11399216672138	690	106	5	101	6	0.611111111111111	0.5	0.782608695652174	0.833333333333333	0.166666666666667	0.8	0.75
4	2.2252549123383	0	2.11399216672138	695	101	1	100	7	0.611111111111111	0.5	0.782608695652174	0.833333333333333	0.166666666666667	0.8	0.75
5	2.2252549123383	0	2.11399216672138	210	586	417	169	1	0.736842105263158	0.761904761904762	0.655172413793103	0.857142857142857	0.666666666666667	0.7	0.631578947368421
5	2.2252549123383	0	2.11399216672138	627	169	78	91	2	0.625	0.6875	0.827586206896552	0.875	0.5	0.8	0.842105263157895
5	2.2252549123383	0	2.11399216672138	705	91	13	78	3	0.6	0.672794117647059	0.862068965517241	0.875	0.470588235294118	0.8	0.894736842105263
5	2.2252549123383	0	2.11399216672138	718	78	3	75	4	0.6	0.672794117647059	0.862068965517241	0.875	0.470588235294118	0.8	0.894736842105263
5	2.2252549123383	0	2.11399216672138	721	75	2	73	5	0.6	0.672794117647059	0.862068965517241	0.875	0.470588235294118	0.8	0.894736842105263
5	2.2252549123383	0	2.11399216672138	723	73	1	72	6	0.6	0.672794117647059	0.862068965517241	0.875	0.470588235294118	0.8	0.894736842105263
6	2.2252549123383	0	2.11399216672138	217	579	416	163	1	0.823529411764706	0.826388888888889	0.772727272727273	0.777777777777778	0.875	0.75	0.8
6	2.2252549123383	0	2.11399216672138	633	163	52	111	2	0.833333333333333	0.833333333333333	0.818181818181818	0.777777777777778	0.888888888888889	0.75	0.9
6	2.2252549123383	0	2.11399216672138	685	111	16	95	3	0.789473684210526	0.794444444444444	0.863636363636364	0.7	0.888888888888889	0.833333333333333	0.9
6	2.2252549123383	0	2.11399216672138	701	95	13	82	4	0.789473684210526	0.794444444444444	0.863636363636364	0.7	0.888888888888889	0.833333333333333	0.9
6	2.2252549123383	0	2.11399216672138	714	82	6	76	5	0.789473684210526	0.794444444444444	0.863636363636364	0.7	0.888888888888889	0.833333333333333	0.9
6	2.2252549123383	0	2.11399216672138	720	76	4	72	6	0.789473684210526	0.794444444444444	0.863636363636364	0.7	0.888888888888889	0.833333333333333	0.9
6	2.2252549123383	0	2.11399216672138	724	72	2	70	7	0.789473684210526	0.794444444444444	0.863636363636364	0.7	0.888888888888889	0.833333333333333	0.9
6	2.2252549123383	0	2.11399216672138	726	70	3	67	8	0.789473684210526	0.794444444444444	0.863636363636364	0.7	0.888888888888889	0.833333333333333	0.9
6	2.2252549123383	0	2.11399216672138	729	67	1	66	9	0.789473684210526	0.794444444444444	0.863636363636364	0.7	0.888888888888889	0.833333333333333	0.9
7	2.2252549123383	0	2.11399216672138	220	576	403	173	1	0.8	0.777777777777778	0.789473684210526	0.666666666666667	0.888888888888889	0.75	0.818181818181818
7	2.2252549123383	0	2.11399216672138	623	173	49	124	2	0.823529411764706	0.807142857142857	0.894736842105263	0.714285714285714	0.9	0.875	0.909090909090909
7	2.2252549123383	0	2.11399216672138	672	124	12	112	3	0.823529411764706	0.807142857142857	0.894736842105263	0.714285714285714	0.9	0.875	0.909090909090909
7	2.2252549123383	0	2.11399216672138	684	112	6	106	4	0.823529411764706	0.807142857142857	0.894736842105263	0.714285714285714	0.9	0.875	0.909090909090909
7	2.2252549123383	0	2.11399216672138	690	106	3	103	5	0.823529411764706	0.807142857142857	0.894736842105263	0.714285714285714	0.9	0.875	0.909090909090909
7	2.2252549123383	0	2.11399216672138	693	103	1	102	6	0.823529411764706	0.807142857142857	0.894736842105263	0.714285714285714	0.9	0.875	0.909090909090909
7	2.2252549123383	0	2.11399216672138	694	102	1	101	7	0.823529411764706	0.807142857142857	0.894736842105263	0.714285714285714	0.9	0.875	0.909090909090909
8	2.2252549123383	0	2.11399216672138	211	585	404	181	1	0.894736842105263	0.875	0.678571428571429	0.75	1	0.615384615384615	0.733333333333333
8	2.2252549123383	0	2.11399216672138	615	181	51	130	2	0.857142857142857	0.847222222222222	0.75	0.777777777777778	0.916666666666667	0.692307692307692	0.8
8	2.2252549123383	0	2.11399216672138	666	130	8	122	3	0.857142857142857	0.847222222222222	0.75	0.777777777777778	0.916666666666667	0.692307692307692	0.8
8	2.2252549123383	0	2.11399216672138	674	122	8	114	4	0.857142857142857	0.847222222222222	0.75	0.777777777777778	0.916666666666667	0.692307692307692	0.8
